V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
149,HONDA,CIVIC,BLUE,Hatchback,Petrol,HONDACIVIC5 Years OldPETROL,HONDACIVIC5 Years Old,HONDACIVIC,EX,24/08/2019,TradeZone,MANUAL,12000,62.366667,2,46135,1028.78
6599,MINI,HATCHBACK,BLACK,Hatchback,Petrol,MINIHATCHBACK2 Years OldPETROL,MINIHATCHBACK2 Years Old,MINIHATCHBACK,COOPER S SPORT,16/03/2022,TradeZone,SEMI-AUTO,20050,29.9,2,11802,513.5409999999999
9151,DACIA,SANDERO,WHITE,Hatchback,Petrol,DACIASANDERO7 Years OldPETROL,DACIASANDERO7 Years Old,DACIASANDERO,LAUREATE,30/04/2017,PARTEX,MANUAL,2925,93.866667,2,69528,293.96999999999997
6494,MERCEDES-BENZ,CLA,WHITE,Coupe,Petrol,MERCEDES-BENZCLA6 Years OldPETROL,MERCEDES-BENZCLA6 Years Old,MERCEDES-BENZCLA,AMG LINE EDITION,31/01/2019,TradeZone,MANUAL,11150,73.4,5,56430,686.11
6500,SMART,FORTWO COUPE,BLACK,Coupe,Electric,SMARTFORTWO COUPE7 Years OldELECTRIC,SMARTFORTWO COUPE7 Years Old,SMARTFORTWO COUPE,PRIME,06/10/2017,TradeZone,AUTO,6850,83.4,2,9428,2549.75
4130,SUZUKI,VITARA,BLUE,SUV,Petrol,SUZUKIVITARA6 Years OldPETROL,SUZUKIVITARA6 Years Old,SUZUKIVITARA,SZ-T,28/01/2019,PARTEX,MANUAL,8475,74.133333,3,42485,863.061
7588,AUDI,Q3,GREY,SUV,Diesel,AUDIQ35 Years OldDIESEL,AUDIQ35 Years Old,AUDIQ3,S LINE,11/06/2019,TradeZone,SEMI-AUTO,17600,62.366667,3,66611,340.848
5575,MERCEDES-BENZ,GLA,BLACK,SUV,Petrol,MERCEDES-BENZGLA5 Years OldPETROL,MERCEDES-BENZGLA5 Years Old,MERCEDES-BENZGLA,URBAN EDITION,25/02/2020,TradeZone,SEMI-AUTO,14750,61.9,1,28231,323.755
293,BMW,X1,BLACK,SUV,Petrol,BMWX15 Years OldPETROL,BMWX15 Years Old,BMWX1,M SPORT,05/08/2019,TradeZone,SEMI-AUTO,13200,59.766667,1,65404,209.79
3986,PEUGEOT,3008,BLUE,SUV,Diesel,PEUGEOT30086 Years OldDIESEL,PEUGEOT30086 Years Old,PEUGEOT3008,GT LINE,30/06/2018,TradeZone,SEMI-AUTO,12500,78.833333,3,36203,911.6
5335,FORD,ECOSPORT,BLUE,SUV,Petrol,FORDECOSPORT5 Years OldPETROL,FORDECOSPORT5 Years Old,FORDECOSPORT,ST-LINE,31/05/2019,TradeZone,MANUAL,8175,70.166667,3,46427,736.033
2181,FIAT,500,WHITE,Hatchback,Petrol,FIAT5003 Years OldPETROL,FIAT5003 Years Old,FIAT500,DOLCEVITA PLUS,21/05/2021,TradeZone,MANUAL,8975,37.333333,1,13719,354.38
7801,HYUNDAI,BAYON,GREY,SUV,Petrol,HYUNDAIBAYON3 Years OldPETROL,HYUNDAIBAYON3 Years Old,HYUNDAIBAYON,PREMIUM,24/02/2022,TradeZone,SEMI-AUTO,13100,36.833333,2,21808,541.491
896,AUDI,A3,BLACK,Hatchback,Petrol,AUDIA34 Years OldPETROL,AUDIA34 Years Old,AUDIA3,S LINE,24/09/2020,TradeZone,MANUAL,16750,45.033333,1,40387,388.25
7523,BMW,3 SERIES,ORANGE,Saloon,Hybrid,BMW3 SERIES4 Years OldPETROLPLUGINELECTRICHYBRID,BMW3 SERIES4 Years Old,BMW3 SERIES,SE PRO,30/09/2020,TradeZone,SEMI-AUTO,15300,49.166667,1,54853,339.09
5369,KIA,PICANTO,SILVER,Hatchback,Petrol,KIAPICANTO5 Years OldPETROL,KIAPICANTO5 Years Old,KIAPICANTO,3,17/09/2019,TradeZone,AUTO,10000,63.1,4,21557,1253.275
1195,PEUGEOT,3008,GREY,SUV,Petrol,PEUGEOT30083 Years OldPETROL,PEUGEOT30083 Years Old,PEUGEOT3008,ACTIVE PREMIUM,30/09/2021,OTHER,MANUAL,13800,38.9,2,27758,579.5
9975,NISSAN,QASHQAI,SILVER,SUV,Petrol,NISSANQASHQAI5 Years OldPETROL,NISSANQASHQAI5 Years Old,NISSANQASHQAI,TEKNA,27/09/2019,TradeZone,MANUAL,10850,65.066667,3,57448,1703.954
8741,CITROEN,C1,GREY,Hatchback,Petrol,CITROENC17 Years OldPETROL,CITROENC17 Years Old,CITROENC1,FURIO,29/09/2017,TradeZone,MANUAL,4200,82.8,2,36659,376.96
645,PEUGEOT,E-208,GREY,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,GT,24/06/2021,TradeZone,AUTO,11550,37.333333,1,23645,299.56
4161,MAZDA,MAZDA2,BLACK,Hatchback,Petrol,MAZDAMAZDA21 Years OldPETROL,MAZDAMAZDA21 Years Old,MAZDAMAZDA2,GT SPORT,23/03/2023,TradeZone,AUTO,15950,18.233333,1,14364,544.787
1767,MERCEDES-BENZ,C-CLASS,GREY,Saloon,Petrol,MERCEDES-BENZC-CLASS6 Years OldPETROL,MERCEDES-BENZC-CLASS6 Years Old,MERCEDES-BENZC-CLASS,AMG LINE,29/09/2018,TradeZone,SEMI-AUTO,17950,71.333333,1,23938,316.01599999999996
1849,TOYOTA,C-HR,SILVER,SUV,Hybrid,TOYOTAC-HR3 Years OldPETROLELECTRICHYBRID,TOYOTAC-HR3 Years Old,TOYOTAC-HR,DESIGN,31/03/2021,TradeZone,AUTO,14550,45.2,1,55020,574.77
2156,MITSUBISHI,OUTLANDER,GREY,SUV,Hybrid,MITSUBISHIOUTLANDER4 Years OldPETROLPLUGINELECTRICHYBRID,MITSUBISHIOUTLANDER4 Years Old,MITSUBISHIOUTLANDER,DYNAMIC,14/12/2020,TradeZone,AUTO,16900,48.866667,1,16223,576.374
1558,ABARTH,595,GREY,Hatchback,Petrol,ABARTH5957 Years OldPETROL,ABARTH5957 Years Old,ABARTH595,,31/03/2017,TradeZone,MANUAL,8075,90.266667,2,19306,542.1709999999999
7741,MERCEDES-BENZ,E-CLASS,GREY,Saloon,Petrol,MERCEDES-BENZE-CLASS6 Years OldPETROL,MERCEDES-BENZE-CLASS6 Years Old,MERCEDES-BENZE-CLASS,AMG LINE,29/09/2018,TradeZone,SEMI-AUTO,17850,71.333333,1,33298,256.76
245,SEAT,ARONA,SILVER,SUV,Petrol,SEATARONA6 Years OldPETROL,SEATARONA6 Years Old,SEATARONA,SE TECHNOLOGY,02/10/2018,TradeZone,MANUAL,8950,75.233333,1,40058,636.59
7740,VOLVO,V40,WHITE,Hatchback,Diesel,VOLVOV407 Years OldDIESEL,VOLVOV407 Years Old,VOLVOV40,,30/09/2016,TradeZone,SEMI-AUTO,8600,98.7,1,28275,672.563
4046,PEUGEOT,E-208,WHITE,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,ALLURE PREMIUM,31/03/2021,TradeZone,AUTO,11700,38.733333,1,12185,210.70499999999998
6334,PEUGEOT,E-208,RED,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,GT PREMIUM,31/03/2021,TradeZone,AUTO,13650,38.933333,1,8756,909.395
5534,MERCEDES-BENZ,GLC,BLUE,SUV,Diesel,MERCEDES-BENZGLC4 Years OldDIESEL,MERCEDES-BENZGLC4 Years Old,MERCEDES-BENZGLC,AMG LINE,23/09/2020,TradeZone,SEMI-AUTO,21500,48.833333,1,67943,277.55
6663,AUDI,Q3,WHITE,SUV,Petrol,AUDIQ37 Years OldPETROL,AUDIQ37 Years Old,AUDIQ3,SPORT,26/10/2017,OTHER,MANUAL,10850,86.3,2,50854,238.47
906,VOLKSWAGEN,POLO,BLUE,Hatchback,Petrol,VOLKSWAGENPOLO3 Years OldPETROL,VOLKSWAGENPOLO3 Years Old,VOLKSWAGENPOLO,MATCH,11/09/2021,TradeZone,MANUAL,12950,35.6,1,26734,1072.064
7048,PEUGEOT,E-208,WHITE,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,GT PREMIUM,31/03/2021,TradeZone,AUTO,14750,42.633333,1,6459,43.677
7740,AUDI,A4,BLUE,Saloon,Petrol,AUDIA43 Years OldPETROL,AUDIA43 Years Old,AUDIA4,S LINE,17/05/2021,TradeZone,SEMI-AUTO,19200,47.033333,1,32333,453.53999999999996
9619,BMW,1 SERIES,GREY,Hatchback,Petrol,BMW1 SERIES3 Years OldPETROL,BMW1 SERIES3 Years Old,BMW1 SERIES,M SPORT,09/06/2020,TradeZone,SEMI-AUTO,17650,47.833333,1,29785,461.56
7284,FORD,FIESTA,BLUE,Hatchback,Petrol,FORDFIESTA7 Years OldPETROL,FORDFIESTA7 Years Old,FORDFIESTA,ST-LINE,03/03/2018,TradeZone,MANUAL,6025,84.666667,2,50416,1097.56
4260,MERCEDES-BENZ,C-CLASS,GREY,Estate,Hybrid,MERCEDES-BENZC-CLASS3 Years OldDIESELPLUGINELECTRICHYBRID,MERCEDES-BENZC-CLASS3 Years Old,MERCEDES-BENZC-CLASS,AMG LINE NIGHT EDITION,31/05/2021,TradeZone,SEMI-AUTO,22000,44.2,1,32121,642.842
6789,PEUGEOT,5008,GREY,SUV,Petrol,PEUGEOT50083 Years OldPETROL,PEUGEOT50083 Years Old,PEUGEOT5008,ALLURE PREMIUM,24/06/2021,TradeZone,SEMI-AUTO,19000,42.366667,1,36976,1004.953
4994,SKODA,OCTAVIA,BLUE,Hatchback,Petrol,SKODAOCTAVIA3 Years OldPETROL,SKODAOCTAVIA3 Years Old,SKODAOCTAVIA,SE TECHNOLOGY,13/07/2021,TradeZone,SEMI-AUTO,14550,37.066667,2,20512,500.43
2723,NISSAN,LEAF,BLACK,Hatchback,Electric,NISSANLEAF6 Years OldELECTRIC,NISSANLEAF6 Years Old,NISSANLEAF,ACENTA,21/03/2018,PARTEX,AUTO,6800,81.666667,3,36074,1215.994
5649,SEAT,LEON,WHITE,Estate,Petrol,SEATLEON4 Years OldPETROL,SEATLEON4 Years Old,SEATLEON,XCELLENCE LUX,24/02/2020,TradeZone,MANUAL,13500,52.966667,1,15005,555.6
8984,PEUGEOT,E-208,WHITE,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,ALLURE PREMIUM,31/03/2021,TradeZone,AUTO,11400,39.433333,1,15800,731.064
6365,MERCEDES-BENZ,A-CLASS,WHITE,Hatchback,Petrol,MERCEDES-BENZA-CLASS3 Years OldPETROL,MERCEDES-BENZA-CLASS3 Years Old,MERCEDES-BENZA-CLASS,SE,29/06/2021,TradeZone,MANUAL,15050,36.366667,1,18957,327.75
8162,PEUGEOT,E-2008,GREY,SUV,Electric,PEUGEOTE-20083 Years OldELECTRIC,PEUGEOTE-20083 Years Old,PEUGEOTE-2008,GT,02/06/2021,TradeZone,AUTO,12050,39.7,1,38326,425.536
2796,MERCEDES-BENZ,CLA,BLACK,Coupe,Diesel,MERCEDES-BENZCLA8 Years OldDIESEL,MERCEDES-BENZCLA8 Years Old,MERCEDES-BENZCLA,AMG LINE,15/09/2016,PARTEX,SEMI-AUTO,10950,96.5,2,74758,1027.4099999999999
6844,BMW,2 SERIES GRAN TOURER,BLACK,MPV,Diesel,BMW2 SERIES GRAN TOURER4 Years OldDIESEL,BMW2 SERIES GRAN TOURER4 Years Old,BMW2 SERIES GRAN TOURER,SE,30/09/2020,TradeZone,SEMI-AUTO,11500,52.3,1,65048,590.91
1135,MERCEDES-BENZ,C-CLASS,GREY,Saloon,Diesel,MERCEDES-BENZC-CLASS6 Years OldDIESEL,MERCEDES-BENZC-CLASS6 Years Old,MERCEDES-BENZC-CLASS,SPORT,31/03/2018,TradeZone,SEMI-AUTO,13650,79.633333,2,40947,667.8969999999999
2731,NISSAN,X-TRAIL,WHITE,SUV,Petrol,NISSANX-TRAIL4 Years OldPETROL,NISSANX-TRAIL4 Years Old,NISSANX-TRAIL,N-CONNECTA,27/10/2020,TradeZone,AUTO,16850,51.566667,2,35394,762.65
1638,RENAULT,CLIO,RED,Hatchback,Petrol,RENAULTCLIO7 Years OldPETROL,RENAULTCLIO7 Years Old,RENAULTCLIO,DYNAMIQUE S NAV,20/06/2017,TradeZone,MANUAL,6550,84.9,1,24456,634.34
446,MINI,CLUBMAN,SILVER,Estate,Petrol,MINICLUBMAN6 Years OldPETROL,MINICLUBMAN6 Years Old,MINICLUBMAN,COOPER S,30/11/2017,TradeZone,SEMI-AUTO,11250,80.033333,2,63512,419.3
2520,MAZDA,MAZDA2,GREY,Hatchback,Petrol,MAZDAMAZDA23 Years OldPETROL,MAZDAMAZDA23 Years Old,MAZDAMAZDA2,GT SPORT NAV,31/07/2021,TradeZone,MANUAL,11800,44.2,1,21835,723.76
2753,NISSAN,QASHQAI,GREY,SUV,Petrol,NISSANQASHQAI4 Years OldPETROL,NISSANQASHQAI4 Years Old,NISSANQASHQAI,TEKNA+,30/12/2019,PARTEX,MANUAL,12000,55.466667,2,68700,638.125
9623,TOYOTA,AYGO,WHITE,Hatchback,Petrol,TOYOTAAYGO7 Years OldPETROL,TOYOTAAYGO7 Years Old,TOYOTAAYGO,X-STYLE,16/02/2018,TradeZone,SEMI-AUTO,8150,84.433333,2,30798,610.595
5872,AUDI,A3,GREY,Hatchback,Hybrid,AUDIA34 Years OldPETROLPLUGINELECTRICHYBRID,AUDIA34 Years Old,AUDIA3,,06/02/2020,TradeZone,SEMI-AUTO,13500,52.666667,1,41840,763.521
9421,SKODA,KODIAQ,GREY,SUV,Petrol,SKODAKODIAQ6 Years OldPETROL,SKODAKODIAQ6 Years Old,SKODAKODIAQ,SE L,14/03/2018,TradeZone,AUTO,18000,78.633333,2,41535,341.63
534,PEUGEOT,2008,GREY,SUV,Petrol,PEUGEOT20083 Years OldPETROL,PEUGEOT20083 Years Old,PEUGEOT2008,GT,03/09/2021,TradeZone,MANUAL,16700,35.333333,1,14716,390.28999999999996
5956,AUDI,A3,BLUE,Hatchback,Hybrid,AUDIA33 Years OldPETROLPLUGINELECTRICHYBRID,AUDIA33 Years Old,AUDIA3,S LINE,09/04/2021,TradeZone,SEMI-AUTO,16700,38.133333,1,63874,445.388
6483,VOLKSWAGEN,POLO,GREY,Hatchback,Petrol,VOLKSWAGENPOLO8 Years OldPETROL,VOLKSWAGENPOLO8 Years Old,VOLKSWAGENPOLO,MATCH,31/03/2017,PARTEX,SEMI-AUTO,10800,97.266667,3,27561,859.88
4592,TOYOTA,RAV4,BLUE,SUV,Hybrid,TOYOTARAV46 Years OldPETROLELECTRICHYBRID,TOYOTARAV46 Years Old,TOYOTARAV4,ICON,08/10/2018,TradeZone,AUTO,15650,70.466667,2,24145,1006.64
8861,TOYOTA,AYGO,RED,Hatchback,Petrol,TOYOTAAYGO3 Years OldPETROL,TOYOTAAYGO3 Years Old,TOYOTAAYGO,X-TREND,01/09/2021,TradeZone,MANUAL,9900,36.4,1,4039,595.58
4344,MERCEDES-BENZ,GLA,BLACK,SUV,Petrol,MERCEDES-BENZGLA6 Years OldPETROL,MERCEDES-BENZGLA6 Years Old,MERCEDES-BENZGLA,URBAN EDITION,30/09/2018,TradeZone,MANUAL,13300,72.7,1,39326,1383
9611,BMW,2 SERIES GRAN COUPE,WHITE,Saloon,Petrol,BMW2 SERIES GRAN COUPE3 Years OldPETROL,BMW2 SERIES GRAN COUPE3 Years Old,BMW2 SERIES GRAN COUPE,M SPORT,13/09/2021,TradeZone,MANUAL,18550,36.466667,1,24687,1097.6
6462,MERCEDES-BENZ,EQC,WHITE,SUV,Electric,MERCEDES-BENZEQC3 Years OldELECTRIC,MERCEDES-BENZEQC3 Years Old,MERCEDES-BENZEQC,AMG LINE,24/05/2021,TradeZone,AUTO,27300,36.7,1,18629,635.35
3036,AUDI,A3,WHITE,Hatchback,Diesel,AUDIA34 Years OldDIESEL,AUDIA34 Years Old,AUDIA3,SPORT,23/03/2020,TradeZone,MANUAL,13000,50.166667,1,47888,316.13
6384,PEUGEOT,3008,BLACK,SUV,Petrol,PEUGEOT30086 Years OldPETROL,PEUGEOT30086 Years Old,PEUGEOT3008,ALLURE,05/06/2018,TradeZone,MANUAL,11800,75.833333,1,26682,466.22
6608,PEUGEOT,E-208,WHITE,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,GT PREMIUM,31/03/2021,TradeZone,AUTO,14350,43.6,1,10562,1586.51
9964,VOLKSWAGEN,T-ROC,BLACK,SUV,Petrol,VOLKSWAGENT-ROC3 Years OldPETROL,VOLKSWAGENT-ROC3 Years Old,VOLKSWAGENT-ROC,ACTIVE,29/06/2021,TradeZone,MANUAL,13600,40.6,1,70599,370.34
3992,BMW,2 SERIES GRAN COUPE,BLACK,Saloon,Petrol,BMW2 SERIES GRAN COUPE4 Years OldPETROL,BMW2 SERIES GRAN COUPE4 Years Old,BMW2 SERIES GRAN COUPE,M SPORT,11/09/2020,TradeZone,MANUAL,15850,51.7,1,44874,415.5
3471,AUDI,A1,GREY,Hatchback,Petrol,AUDIA12 Years OldPETROL,AUDIA12 Years Old,AUDIA1,S LINE,07/09/2022,TradeZone,SEMI-AUTO,19800,30.366667,2,13466,835.912
4730,HYUNDAI,I20,BLUE,Hatchback,Petrol,HYUNDAII204 Years OldPETROL,HYUNDAII204 Years Old,HYUNDAII20,Premium Nav,06/12/2018,OTHER,MANUAL,10700,65.933333,0,12474,655.88
779,NISSAN,QASHQAI,GREY,SUV,Diesel,NISSANQASHQAI5 Years OldDIESEL,NISSANQASHQAI5 Years Old,NISSANQASHQAI,TEKNA,29/10/2018,TradeZone,MANUAL,10850,67.2,2,57408,904.722
530,PEUGEOT,208,YELLOW,Hatchback,Diesel,PEUGEOT2084 Years OldDIESEL,PEUGEOT2084 Years Old,PEUGEOT208,ALLURE,06/10/2020,TradeZone,MANUAL,10550,44.533333,3,39174,312.599
9323,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,SE,21/07/2020,TradeZone,MANUAL,8325,49.066667,3,30828,346.031
7359,AUDI,A3,RED,Hatchback,Petrol,AUDIA34 Years OldPETROL,AUDIA34 Years Old,AUDIA3,SPORT,02/11/2020,TradeZone,MANUAL,17450,44.6,1,19499,624.36
8432,MINI,COUNTRYMAN,GREY,SUV,Petrol,MINICOUNTRYMAN4 Years OldPETROL,MINICOUNTRYMAN4 Years Old,MINICOUNTRYMAN,COOPER EXCLUSIVE,28/08/2019,TradeZone,SEMI-AUTO,17650,57.6,2,25933,778.88
2507,FORD,EDGE,WHITE,SUV,Diesel,FORDEDGE6 Years OldDIESEL,FORDEDGE6 Years Old,FORDEDGE,ST-LINE,30/11/2017,TradeZone,SEMI-AUTO,13900,80.3,3,56249,447.779
7544,MERCEDES-BENZ,A-CLASS,SILVER,Hatchback,Diesel,MERCEDES-BENZA-CLASS5 Years OldDIESEL,MERCEDES-BENZA-CLASS5 Years Old,MERCEDES-BENZA-CLASS,AMG LINE,13/09/2019,TradeZone,SEMI-AUTO,15700,61.1,3,37402,380.53999999999996
5292,AUDI,A1,GREY,Hatchback,Petrol,AUDIA12 Years OldPETROL,AUDIA12 Years Old,AUDIA1,TECHNIK,25/02/2022,TradeZone,MANUAL,16700,31.9,1,7766,654.59
1668,VOLKSWAGEN,UP!,BLUE,Hatchback,Petrol,VOLKSWAGENUP!8 Years OldPETROL,VOLKSWAGENUP!8 Years Old,VOLKSWAGENUP!,HIGH UP,22/10/2016,PARTEX,MANUAL,6400,102.4,2,37509,504.605
2147,JAGUAR,I-PACE,RED,SUV,Electric,JAGUARI-PACE3 Years OldELECTRIC,JAGUARI-PACE3 Years Old,JAGUARI-PACE,SE,07/05/2021,TradeZone,AUTO,21100,36.866667,1,35924,1635.55
2310,PEUGEOT,E-208,RED,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,GT PREMIUM,31/03/2021,TradeZone,AUTO,14000,38.033333,1,12049,737.82
4775,PEUGEOT,208,WHITE,Hatchback,Petrol,PEUGEOT2082 Years OldPETROL,PEUGEOT2082 Years Old,PEUGEOT208,GT PREMIUM,29/05/2022,PARTEX,MANUAL,14100,32.066667,1,22928,909.44
3660,MERCEDES-BENZ,E-CLASS,WHITE,Convertible,Petrol,MERCEDES-BENZE-CLASS6 Years OldPETROL,MERCEDES-BENZE-CLASS6 Years Old,MERCEDES-BENZE-CLASS,AMG LINE,29/09/2018,TradeZone,SEMI-AUTO,20100,71.1,1,36430,751.93
2737,CITROEN,GRAND C4 SPACETOURER,GREY,MPV,Petrol,CITROENGRAND C4 SPACETOURER5 Years OldPETROL,CITROENGRAND C4 SPACETOURER5 Years Old,CITROENGRAND C4 SPACETOURER,FEEL,30/09/2019,PARTEX,MANUAL,11050,60.6,4,51392,708.78
9691,TOYOTA,AYGO,GREY,Hatchback,Petrol,TOYOTAAYGO5 Years OldPETROL,TOYOTAAYGO5 Years Old,TOYOTAAYGO,X-TREND,13/07/2019,TradeZone,MANUAL,7725,60.333333,1,33372,612.03
5280,PEUGEOT,E-208,RED,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,GT PREMIUM,31/03/2021,TradeZone,AUTO,13700,38.333333,1,15644,444.95
2635,HONDA,CIVIC,WHITE,Hatchback,Petrol,HONDACIVIC5 Years OldPETROL,HONDACIVIC5 Years Old,HONDACIVIC,PRESTIGE,12/12/2018,TradeZone,MANUAL,14500,70.633333,1,33731,663.59
8224,MERCEDES-BENZ,C-CLASS,WHITE,Estate,Petrol,MERCEDES-BENZC-CLASS6 Years OldPETROL,MERCEDES-BENZC-CLASS6 Years Old,MERCEDES-BENZC-CLASS,AMG LINE,29/09/2018,TradeZone,SEMI-AUTO,15200,71.266667,1,43264,681.781
7640,MERCEDES-BENZ,A-CLASS,SILVER,Hatchback,Diesel,MERCEDES-BENZA-CLASS5 Years OldDIESEL,MERCEDES-BENZA-CLASS5 Years Old,MERCEDES-BENZA-CLASS,AMG LINE,12/09/2019,TradeZone,SEMI-AUTO,15850,63.833333,3,28784,479.45
4541,TOYOTA,YARIS,WHITE,Hatchback,Hybrid,TOYOTAYARIS3 Years OldPETROLELECTRICHYBRID,TOYOTAYARIS3 Years Old,TOYOTAYARIS,ICON,30/09/2021,TradeZone,AUTO,13100,36.766667,1,26671,891.46
5902,NISSAN,QASHQAI,BRONZE,SUV,Petrol,NISSANQASHQAI4 Years OldPETROL,NISSANQASHQAI4 Years Old,NISSANQASHQAI,ACENTA PREMIUM,30/12/2019,TradeZone,MANUAL,10650,56.333333,2,39131,499.10999999999996
3147,BMW,2 SERIES GRAN COUPE,BLUE,Saloon,Petrol,BMW2 SERIES GRAN COUPE3 Years OldPETROL,BMW2 SERIES GRAN COUPE3 Years Old,BMW2 SERIES GRAN COUPE,M SPORT,22/02/2021,OTHER,SEMI-AUTO,17200,38.966667,1,44008,987.2829999999999
7322,VAUXHALL,CORSA,RED,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE PREMIUM,05/03/2021,TradeZone,MANUAL,8325,46.666667,2,30610,286.68
827,SEAT,ARONA,WHITE,SUV,Petrol,SEATARONA5 Years OldPETROL,SEATARONA5 Years Old,SEATARONA,SE TECHNOLOGY,26/09/2019,TradeZone,SEMI-AUTO,11300,61.333333,3,22793,651.918
8024,AUDI,A1,GREY,Hatchback,Petrol,AUDIA17 Years OldPETROL,AUDIA17 Years Old,AUDIA1,SE,31/03/2017,PARTEX,MANUAL,6425,90.333333,2,55763,1722.257
7,RENAULT,CLIO,WHITE,Hatchback,Petrol,RENAULTCLIO6 Years OldPETROL,RENAULTCLIO6 Years Old,RENAULTCLIO,DYNAMIQUE NAV,09/05/2018,PARTEX,MANUAL,6325,77.233333,2,36867,840.65
8843,CITROEN,C4,GREY,Hatchback,Petrol,CITROENC43 Years OldPETROL,CITROENC43 Years Old,CITROENC4,SHINE PLUS,17/07/2021,OTHER,SEMI-AUTO,13700,38.666667,2,20888,704.669
2551,AUDI,A4,WHITE,Saloon,Petrol,AUDIA43 Years OldPETROL,AUDIA43 Years Old,AUDIA4,BLACK EDITION,21/10/2021,TradeZone,MANUAL,18000,36.8,1,55393,304.84999999999997
8685,FIAT,500,GREY,Hatchback,Petrol,FIAT5003 Years OldPETROL,FIAT5003 Years Old,FIAT500,LOUNGE,15/05/2021,TradeZone,MANUAL,8300,36.966667,1,32631,489.757
6726,BMW,X2,GREY,SUV,Petrol,BMWX25 Years OldPETROL,BMWX25 Years Old,BMWX2,SE,17/09/2019,OTHER,SEMI-AUTO,17350,63.266667,2,11933,1339.16
1432,PEUGEOT,3008,BLUE,SUV,Diesel,PEUGEOT30084 Years OldDIESEL,PEUGEOT30084 Years Old,PEUGEOT3008,ACTIVE,30/06/2020,TradeZone,MANUAL,9075,55.5,1,64072,614.3
8274,MAZDA,MAZDA6,GREY,Saloon,Petrol,MAZDAMAZDA62 Years OldPETROL,MAZDAMAZDA62 Years Old,MAZDAMAZDA6,SE-L,12/04/2022,TradeZone,MANUAL,12450,25.5,1,42433,1426.01
4188,MERCEDES-BENZ,A-CLASS,SILVER,Hatchback,Petrol,MERCEDES-BENZA-CLASS4 Years OldPETROL,MERCEDES-BENZA-CLASS4 Years Old,MERCEDES-BENZA-CLASS,AMG LINE,30/09/2019,TradeZone,MANUAL,17000,58.633333,2,14470,225.4
5150,TOYOTA,AYGO,RED,Hatchback,Petrol,TOYOTAAYGO3 Years OldPETROL,TOYOTAAYGO3 Years Old,TOYOTAAYGO,X-TREND,29/09/2021,TradeZone,MANUAL,9475,36.366667,1,14844,243.93
1749,SKODA,OCTAVIA,BLUE,Estate,Diesel,SKODAOCTAVIA4 Years OldDIESEL,SKODAOCTAVIA4 Years Old,SKODAOCTAVIA,SE TECHNOLOGY,10/12/2019,TradeZone,MANUAL,9450,58.4,1,56571,411.56
2496,SEAT,LEON,GREY,Hatchback,Petrol,SEATLEON3 Years OldPETROL,SEATLEON3 Years Old,SEATLEON,SE DYNAMIC,29/09/2021,TradeZone,MANUAL,12250,36.566667,1,25657,828.98
3398,FORD,FIESTA,WHITE,Hatchback,Petrol,FORDFIESTA7 Years OldPETROL,FORDFIESTA7 Years Old,FORDFIESTA,TITANIUM,30/09/2017,TradeZone,MANUAL,6850,90.633333,2,26701,365.96999999999997
2524,PEUGEOT,E-208,BLUE,Hatchback,Electric,PEUGEOTE-2083 Years OldELECTRIC,PEUGEOTE-2083 Years Old,PEUGEOTE-208,GT PREMIUM,30/04/2021,TradeZone,AUTO,13650,40.7,2,17690,780.8
3167,MERCEDES-BENZ,A-CLASS,BLACK,Saloon,Diesel,MERCEDES-BENZA-CLASS3 Years OldDIESEL,MERCEDES-BENZA-CLASS3 Years Old,MERCEDES-BENZA-CLASS,AMG LINE EXECUTIVE EDITION,08/10/2021,TradeZone,SEMI-AUTO,18600,36.266667,2,38620,726.59
