V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
1984,LAND ROVER,DISCOVERY SPORT,BLACK,SUV,Diesel,LAND ROVERDISCOVERY SPORT4 Years OldDIESEL,LAND ROVERDISCOVERY SPORT4 Years Old,LAND ROVERDISCOVERY SPORT,S,14/12/2019,TradeZone,AUTO,18800,53.733333,3,38082,419.67
7706,BMW,1 SERIES,WHITE,Hatchback,Petrol,BMW1 SERIES2 Years OldPETROL,BMW1 SERIES2 Years Old,BMW1 SERIES,SPORT,21/02/2022,TradeZone,MANUAL,16300,28.266667,1,30512,1129.8229999999999
3052,VOLKSWAGEN,E-UP!,WHITE,Hatchback,Electric,VOLKSWAGENE-UP!1 Years OldELECTRIC,VOLKSWAGENE-UP!1 Years Old,VOLKSWAGENE-UP!,E-UP,30/12/2022,TradeZone,AUTO,12300,17.7,1,8444,1061.29
1744,AUDI,A1,BLACK,Hatchback,Petrol,AUDIA15 Years OldPETROL,AUDIA15 Years Old,AUDIA1,SPORT,30/05/2019,TradeZone,MANUAL,14150,63.266667,2,30444,725.12
3298,TOYOTA,YARIS,WHITE,Hatchback,Petrol,TOYOTAYARIS5 Years OldPETROL,TOYOTAYARIS5 Years Old,TOYOTAYARIS,ICON TECH,21/03/2019,TradeZone,MANUAL,9300,70.733333,2,18450,284.71999999999997
907,VOLKSWAGEN,TIGUAN,WHITE,SUV,Petrol,VOLKSWAGENTIGUAN4 Years OldPETROL,VOLKSWAGENTIGUAN4 Years Old,VOLKSWAGENTIGUAN,R-LINE TECH,27/03/2020,TradeZone,SEMI-AUTO,21400,51.066667,1,33524,459.591
7439,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,SRI PREMIUM,31/03/2020,TradeZone,MANUAL,10550,56.033333,2,13971,546.38
616,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,SRI PREMIUM,31/03/2020,TradeZone,MANUAL,8700,57.5,3,40007,303.781
3208,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,SE PREMIUM,31/03/2020,TradeZone,MANUAL,9875,51.6,1,17779,437.125
1617,VOLKSWAGEN,T-CROSS,BLACK,SUV,Petrol,VOLKSWAGENT-CROSS3 Years OldPETROL,VOLKSWAGENT-CROSS3 Years Old,VOLKSWAGENT-CROSS,SEL,31/03/2021,TradeZone,AUTO,16050,39.666667,1,29015,307.8
250,VAUXHALL,CORSA-E,GREY,Hatchback,Electric,VAUXHALLCORSA-E3 Years OldELECTRIC,VAUXHALLCORSA-E3 Years Old,VAUXHALLCORSA-E,ELITE NAV PREMIUM,31/03/2021,TradeZone,AUTO,9975,43.833333,1,27594,764.919
6328,VAUXHALL,CORSA,BLACK,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE PREMIUM,31/03/2021,TradeZone,MANUAL,10550,38.3,2,16344,285.23499999999996
5393,VOLKSWAGEN,GOLF,BLACK,Hatchback,Diesel,VOLKSWAGENGOLF3 Years OldDIESEL,VOLKSWAGENGOLF3 Years Old,VOLKSWAGENGOLF,GTD,31/03/2021,TradeZone,SEMI-AUTO,23400,42.533333,2,21996,979.646
2688,VAUXHALL,CORSA,ORANGE,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE,30/04/2021,TradeZone,MANUAL,9125,46.633333,1,17261,374.89
2368,VOLKSWAGEN,GOLF,BLACK,Hatchback,Petrol,VOLKSWAGENGOLF5 Years OldPETROL,VOLKSWAGENGOLF5 Years Old,VOLKSWAGENGOLF,R,26/09/2019,OTHER,SEMI-AUTO,18450,62.8,1,44768,1383.17
7441,FIAT,500,WHITE,Hatchback,Petrol,FIAT5005 Years OldPETROL,FIAT5005 Years Old,FIAT500,STAR,31/10/2019,TradeZone,MANUAL,6850,61.566667,1,12097,535.99
5752,VOLKSWAGEN,ID.3,GREY,Hatchback,Electric,VOLKSWAGENID.33 Years OldELECTRIC,VOLKSWAGENID.33 Years Old,VOLKSWAGENID.3,FAMILY PRO,26/11/2021,TradeZone,AUTO,17650,36.5,1,8081,602.77
158,VOLKSWAGEN,TIGUAN,WHITE,SUV,Diesel,VOLKSWAGENTIGUAN2 Years OldDIESEL,VOLKSWAGENTIGUAN2 Years Old,VOLKSWAGENTIGUAN,LIFE,31/10/2022,TradeZone,SEMI-AUTO,23200,22.766667,1,23591,688.2429999999999
4525,BMW,4 SERIES,WHITE,Coupe,Diesel,BMW4 SERIES6 Years OldDIESEL,BMW4 SERIES6 Years Old,BMW4 SERIES,M SPORT,30/06/2018,TradeZone,SEMI-AUTO,13200,79.966667,5,56295,208.797
9552,JAGUAR,E-PACE,WHITE,SUV,Diesel,JAGUARE-PACE5 Years OldDIESEL,JAGUARE-PACE5 Years Old,JAGUARE-PACE,R-DYNAMIC SE,30/03/2019,TradeZone,AUTO,18150,63.866667,1,36421,241.26
2179,SEAT,ARONA,BLACK,SUV,Petrol,SEATARONA4 Years OldPETROL,SEATARONA4 Years Old,SEATARONA,FR SPORT,27/08/2020,TradeZone,MANUAL,11800,49.233333,1,30514,877.18
5557,VAUXHALL,CORSA-E,GREY,Hatchback,Electric,VAUXHALLCORSA-E3 Years OldELECTRIC,VAUXHALLCORSA-E3 Years Old,VAUXHALLCORSA-E,ELITE NAV PREMIUM,30/04/2021,TradeZone,AUTO,10650,38,1,21157,872.63
